seed,metodo,iteracion,tau,equiv_pldn,conc_dfnb,temperature,sty,fuente,rechazos,concern_level,grounding_usado
3,multiagent_norag,9,0.5,1.0,0.5,120.0,10503.03764300311,multiagent_norag,0,low,
3,multiagent_norag,10,0.5,1.0,0.5,120.0,11063.653512551991,multiagent_norag,0,low,
3,multiagent_norag,11,0.5,1.0,0.5,30.0,6479.933452487022,multiagent_norag,0,low,
4,multiagent_norag,0,0.5,5.0,0.5,120.0,3429.7258206900633,multiagent_norag,0,low,
4,multiagent_norag,1,0.5,1.0,0.5,120.0,10868.670206353123,multiagent_norag,1,low,
4,multiagent_norag,2,0.5,1.0,0.5,30.0,5818.108336065574,multiagent_norag,0,low,
4,multiagent_norag,3,0.5,1.0,0.1,120.0,2031.2146216791036,multiagent_norag,0,low,
4,multiagent_norag,4,0.5,1.0,0.5,104.7,11379.967113433351,multiagent_norag,0,low,
4,multiagent_norag,5,0.5,5.0,0.5,30.0,12262.09291727163,multiagent_norag,0,low,
4,multiagent_norag,6,0.5,5.0,0.38,30.0,8153.643567592611,multiagent_norag,0,low,
4,multiagent_norag,7,0.5,4.1,0.5,47.4,11188.5621537131,multiagent_norag,0,low,
4,multiagent_norag,8,0.86,5.0,0.5,30.0,6879.782560729434,multiagent_norag,0,low,
4,multiagent_norag,9,0.8,1.0,0.5,109.8,6839.561411604123,multiagent_norag,0,low,
4,multiagent_norag,10,0.5,1.0,0.4,103.0,8507.775087524898,multiagent_norag,0,low,
4,multiagent_norag,11,0.5,5.0,0.5,30.0,12217.72910416178,multiagent_norag,0,low,
0,multiagent_grounded,0,0.75,1.5,0.35,60.0,5490.670525736456,multiagent_grounded,1,low,https://chem.libretexts.org/Bookshelves/Organic_Chemistry/OCLUE:_Organic_Chemistry_Life_the_Universe_and_Everything_(Copper_and_Klymkowsky)/08:_Conjugated_compounds_and_aromaticity/8.12:_Nucleophilic_Substitutions_on_Aromatic_Systems-_Expanding_the_range_of_potential_substitution_products;https://en.wikipedia.org/wiki/Nucleophilic_aromatic_substitution;https://en.wikipedia.org/wiki/Nucleophilic_aromatic_substitution
0,multiagent_grounded,1,1.07,1.72,0.31,30.0,3046.662354701124,multiagent_grounded,1,low,https://chem.libretexts.org/Bookshelves/Organic_Chemistry/OCLUE:_Organic_Chemistry_Life_the_Universe_and_Everything_(Copper_and_Klymkowsky)/08:_Conjugated_compounds_and_aromaticity/8.12:_Nucleophilic_Substitutions_on_Aromatic_Systems-_Expanding_the_range_of_potential_substitution_products;https://en.wikipedia.org/wiki/Nucleophilic_aromatic_substitution;https://en.wikipedia.org/wiki/Nucleophilic_aromatic_substitution
