method,seed,iteracion,yield,fuente,rechazos
multiagente,1,21,81.08732936473656,multiagent,0
multiagente,1,22,78.45962245490661,multiagent,0
multiagente,1,23,81.20275871506327,multiagent,0
multiagente,1,24,76.53462777425999,multiagent,1
multiagente,1,25,82.82333444106669,multiagent,0
multiagente,1,26,52.22469894663337,multiagent,0
multiagente,1,27,81.79732547049996,multiagent,0
multiagente,1,28,81.46963091494656,multiagent,1
multiagente,1,29,73.77442385541664,multiagent,1
multiagente_ucb,1,0,77.58132203450997,multiagente_ucb,0
multiagente_ucb,1,1,64.82790108880002,multiagente_ucb,0
multiagente_ucb,1,2,79.8207421988367,multiagente_ucb,1
multiagente_ucb,1,3,55.45699097275329,multiagente_ucb,0
multiagente_ucb,1,4,31.71192650005999,multiagente_ucb,0
multiagente_ucb,1,5,79.55194549212007,multiagente_ucb,0
multiagente_ucb,1,6,33.495471690946665,multiagente_ucb,0
multiagente_ucb,1,7,65.82304593871665,multiagente_ucb,0
multiagente_ucb,1,8,73.78167684343337,multiagente_ucb,0
multiagente_ucb,1,9,79.12740002843661,multiagente_ucb,1
multiagente_ucb,1,10,77.94658210847003,multiagente_ucb,0
multiagente_ucb,1,11,78.12497294236998,multiagente_ucb,2
multiagente_ucb,1,12,76.71376151100998,multiagente_ucb,2
multiagente_ucb,1,13,80.4594838097367,multiagente_ucb,1
multiagente_ucb,1,14,68.43777013990001,multiagente_ucb,0
multiagente_ucb,1,15,79.24090360213663,multiagente_ucb,1
multiagente_ucb,1,16,69.17022539953335,multiagente_ucb,0
multiagente_ucb,1,17,80.47006014978987,multiagente_ucb,0
multiagente_ucb,1,18,34.23224247911666,multiagente_ucb,1
multiagente_ucb,1,19,70.17421018766665,multiagente_ucb,2
multiagente_ucb,1,20,76.09283192919003,multiagente_ucb,0
multiagente_ucb,1,21,81.33288717902663,multiagente_ucb,0
multiagente_ucb,1,22,45.583347501556666,multiagente_ucb,0
multiagente_ucb,1,23,73.58926395744996,multiagente_ucb,0
multiagente_ucb,1,24,60.41003599782999,multiagente_ucb,0
multiagente_ucb,1,25,72.37843385338671,multiagente_ucb,0
multiagente_ucb,1,26,81.32795127298988,multiagente_ucb,0
multiagente_ucb,1,27,28.21096493082668,multiagente_ucb,0
multiagente_ucb,1,28,31.01371115092667,multiagente_ucb,0
multiagente_ucb,1,29,80.95363008185328,multiagente_ucb,0
batch_llm,1,0,19.747594290240013,batch_llm,0
batch_llm,1,1,73.36690942820668,batch_llm,0
batch_llm,1,2,37.32128152305335,batch_llm,0
batch_llm,1,3,79.0162465783633,batch_llm,1
batch_llm,1,4,78.9870365978334,batch_llm,0
batch_llm,1,5,41.230521397213295,batch_llm,0
batch_llm,1,6,42.1231030953933,batch_llm,0
batch_llm,1,7,76.09296026839667,batch_llm,2
batch_llm,1,8,65.76334047833333,batch_llm,0
batch_llm,1,9,26.706417715280026,batch_llm,0
batch_llm,1,10,37.31948053982335,batch_llm,0
batch_llm,1,11,76.42911567377,batch_llm,2
batch_llm,1,12,76.88271977270331,batch_llm,2
batch_llm,1,13,2.585729533903333,batch_llm,0
batch_llm,1,14,60.67487242676668,batch_llm,0
batch_llm,1,15,41.75955264223998,batch_llm,0
batch_llm,1,16,18.084038731869985,batch_llm,0
batch_llm,1,17,74.06841954683337,batch_llm,0
batch_llm,1,18,70.8354946964267,bo_fallback,3
batch_llm,1,19,84.98113857956663,batch_llm,0
batch_llm,1,20,44.134059576273366,batch_llm,0
